,CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
37,37,,,51,108,480,51,,,order_9bf32a4e-431e-4166-8693-13f19e38a495,wash_11
38,38,,,46,108,480,46,,,order_601cc65d-241f-4a9b-81a4-f6a13ee40375,wash_11
39,39,,,16,118,480,16,,,order_5fe0ddbb-9b61-4c82-8a95-d39a1dbaca0f,stationary_charge_1010
40,40,,,16,118,480,16,,,order_3f107b31-9e83-448e-b2ff-e2519d78fc13,stationary_charge_946
41,41,,,17,118,480,17,,,order_51d21fa1-f326-4a5e-951b-28e2f4d29755,stationary_charge_1230
42,42,,,18,118,480,18,,,order_26610b3c-8fba-4e42-93c5-8787c2ff6a7b,stationary_charge_854
43,43,,,16,118,480,16,,,order_1d7b7360-da67-418b-9308-99bcece4ee07,stationary_charge_1154
44,44,,,16,118,480,16,,,order_0b4bd71e-6bcb-479e-ab48-1821a79658a0,stationary_charge_947
45,45,,,18,118,480,18,,,order_16f52570-f1b0-443e-bfcd-f08c27e35875,stationary_charge_15
46,46,,,50,168,480,50,,,order_62d25df3-19f4-408a-a432-e008a94beda6,wash_11
47,47,,,49,168,480,49,,,order_847333bd-eaff-49e6-adc1-57805d952f3b,wash_11
48,48,,,48,228,480,48,,,order_d4de7c40-f8a1-41b0-8329-c78a6af71a41,wash_11
49,49,,,52,233,480,52,,,order_931fcc05-ad4f-40dc-900c-4c59832cbb57,wash_11
50,50,,,19,258,480,19,,,order_fccf8a7a-13c0-4289-ad3b-b44319a4b3d1,stationary_charge_343
51,51,,,20,258,480,20,,,order_71befb9a-d49a-42b8-8415-94fc454cdbb3,stationary_charge_1584
52,52,,,16,258,480,16,,,order_922ad439-ee5a-42b5-b5f3-495b7353b5cb,stationary_charge_1416
53,53,,,49,263,480,49,,,order_e18a80d6-8aed-4172-95dc-f25e033459ae,wash_11
54,54,,,53,263,480,53,,,order_87e48f13-1fa8-4d27-86ce-7d69da7d2f3e,wash_20
55,55,,,54,288,480,54,,,order_f919d605-aa74-4a87-a3f7-011175639ea2,wash_11
56,56,,,51,288,480,51,,,order_d1fe9ca1-4594-4d80-b6e5-553078218949,wash_11
57,57,,,17,318,480,17,,,order_2589217c-e850-49af-9dec-3788be142ca7,stationary_charge_1229
